status,source,drive_id,size_bytes,repo_target,drive_url
downloaded,Goz Kodlar,1GITPxxXjFDoYlVJ-IOPTi8yd-947TDJX,99588,03_regional_models/notebooks/eye/efficientnet_b0_eye_baseline.ipynb,https://drive.google.com/file/d/1GITPxxXjFDoYlVJ-IOPTi8yd-947TDJX/view
downloaded,Goz Kodlar,15IRdBJ-P36mbBk_MLxiDeIVwRjWw3snX,163547,03_regional_models/notebooks/eye/HOG_LBP_KAZE_SVM_RF_Eye_Deepfake_Deney.ipynb,https://drive.google.com/file/d/15IRdBJ-P36mbBk_MLxiDeIVwRjWw3snX/view
downloaded,Goz Kodlar,1_juYb8Jbfb4Yo61nr2VWbxgV9aWWCnTv,146156,03_regional_models/notebooks/eye/HOG_LBP_SVM_Eye_Deepfake_Deney.ipynb,https://drive.google.com/file/d/1_juYb8Jbfb4Yo61nr2VWbxgV9aWWCnTv/view
downloaded,Goz Kodlar,1GtMbormjpFxYSxAh8YM8vcN-wkxpiWea,108221,03_regional_models/notebooks/eye/HOG_LBP_SVM_Eye_Deepfake_Colab_REVISED.ipynb,https://drive.google.com/file/d/1GtMbormjpFxYSxAh8YM8vcN-wkxpiWea/view
downloaded,Goz Kodlar,1KMyS1iek4aZ56YvIURR-YJ5yDQxoLFUE,370979,03_regional_models/notebooks/eye/Eye_SwinV2_Tiny_Baseline_Stabilized.ipynb,https://drive.google.com/file/d/1KMyS1iek4aZ56YvIURR-YJ5yDQxoLFUE/view
downloaded,Goz Kodlar,1GBoz6gI1IpY3tj8Suh2nHa4r64nSaSP_,887065,03_regional_models/notebooks/eye/Xception_Eye_Deepfake_Deney.ipynb,https://drive.google.com/file/d/1GBoz6gI1IpY3tj8Suh2nHa4r64nSaSP_/view
downloaded,Goz Kodlar,1ShWdZaFRiOJNlEvdUKAkPbxS_VES8kGt,561778,03_regional_models/notebooks/eye/Kader_Deney1_Eye_Xception_SSOT_v2.ipynb,https://drive.google.com/file/d/1ShWdZaFRiOJNlEvdUKAkPbxS_VES8kGt/view
downloaded,Goz Kodlar,1Vj6J9KmzSDe68qiDMrDZREES9saBTmEd,147298,03_regional_models/notebooks/eye/Swin-Tiny_Swin_LBP_GLCM_Gabor_Wavelet_Deney.ipynb,https://drive.google.com/file/d/1Vj6J9KmzSDe68qiDMrDZREES9saBTmEd/view
downloaded,Goz Kodlar,12n-NVuCkEIHZcDbc_MkGi8exITmxnIg0,109849,03_regional_models/notebooks/eye/Deney1_Eye_SwinV2_Tiny_Baseline_v2.ipynb,https://drive.google.com/file/d/12n-NVuCkEIHZcDbc_MkGi8exITmxnIg0/view
downloaded,Goz Kodlar,1o--qr_mmDwomaRRGaGeZXIXuRteD1GVb,210839,03_regional_models/notebooks/eye/VGG16_HOG_GIST_SVM_Deney.ipynb,https://drive.google.com/file/d/1o--qr_mmDwomaRRGaGeZXIXuRteD1GVb/view
downloaded,Goz Kodlar,1HD8qcDRzd_q3mfiXrF6TM--hsE97tZMn,388860,03_regional_models/notebooks/eye/Pupil_Segmentasyonu_Korneal_Yansima_FusionCNN_Deney.ipynb,https://drive.google.com/file/d/1HD8qcDRzd_q3mfiXrF6TM--hsE97tZMn/view
downloaded,Goz Kodlar,1QZkASejRyPGiv1ATdxmrRn_y_9V3KVBZ,111463,03_regional_models/notebooks/eye/Experiment_02_Eye_SwinV2_TextureFusion.ipynb,https://drive.google.com/file/d/1QZkASejRyPGiv1ATdxmrRn_y_9V3KVBZ/view
downloaded,Goz Kodlar,1iqaZAvHl43op-Cteg1b0qfGhjH_Ijizw,161401,03_regional_models/notebooks/eye/Deney_1_Pupil_Kornea_CNN_v2_Tam_Gorsellestirmeli.ipynb,https://drive.google.com/file/d/1iqaZAvHl43op-Cteg1b0qfGhjH_Ijizw/view
